Date;PX_LAST;Returns;PX_OPEN;PX_HIGH;PX_LOW;VOLUME;VWAP;VIX;PX_ASK;PX_BID;SPREAD;HIST_CALL_IMP_VOL;VOLATILITY_30D;VOLATILITY_60D;VOLATILITY_90D;Mkt-RF;SMB;HML;RMW;CMA;RF;Price Earnings Ratio (P/E);BEst P/E Ratio;Price/Cash Flow
27.01.2010;7.424;0.009381373;7.388;7.521;7.126;1722568120;7.34;23.14;7.428;7.424;0.004;34.529;30.454;27.597;27.792;0.53;0.23;0.22;-0.95;-0.04;0;20.3;18.2;15.58
28.01.2010;7.118;-0.041217672;7.319;7.339;7.096;1173501504;7.1668;23.73;7.118;7.118;0;35.334;32.878;29.085;28.751;-1.18;-0.51;0.43;-0.03;0.07;0;19.46;17.36;14.93
29.01.2010;6.859;-0.036386625;7.181;7.221;6.795;1245951140;6.9716;24.62;6.859;6.856;0.003;36.736;34.745;30.141;29.467;-0.97;-0.08;-0.42;-0.2;0.18;0;18.76;16.73;14.39
01.02.2010;6.955;0.013996209;6.870;7.000;6.832;749873684;6.9207;22.59;6.954;6.954;0;35.869;34.641;30.194;29.543;1.39;-0.14;0.88;-0.15;0.71;0;19.02;16.84;14.59
02.02.2010;6.995;0.005751258;6.997;7.011;6.906;698341252;6.9657;21.48;6.995;6.994;0.001;33.692;34.238;30.014;29.509;1.21;-0.27;0.64;0.3;0.72;0;19.13;16.94;14.68
03.02.2010;7.115;0.017155111;6.970;7.150;6.944;615327076;7.0902;21.6;7.117;7.115;0.002;32.924;34.357;30.222;29.602;-0.49;0.02;-0.38;0.23;-0.09;0;19.46;17.23;14.93
04.02.2010;6.859;-0.035980323;7.026;7.085;6.842;757651048;6.9336;26.08;6.857;6.856;0.001;35.657;35.906;30.24;30.098;-3.14;-0.33;-1.17;0.44;-0.06;0;18.75;16.61;14.39
05.02.2010;6.981;0.017786849;6.880;7.000;6.816;850305400;6.909;26.11;6.975;6.975;0;37.212;36.238;30.438;30.231;0.29;-0.06;0.01;-0.64;-0.16;0;19.09;16.9;14.65
08.02.2010;6.933;-0.006875806;6.989;7.067;6.929;478268476;7.0037;26.51;6.93;6.93;0;34.809;34.609;30.463;30.258;-0.79;-0.05;-0.36;0.14;0.16;0;18.96;16.79;14.55
09.02.2010;7.007;0.01067359;7.015;7.054;6.955;632884112;7.0126;26;7.007;7.005;0.002;32.816;34.548;30.533;29.994;1.33;0.37;0.57;0.34;0.4;0;19.16;16.97;14.7
10.02.2010;6.968;-0.005565863;6.996;7.021;6.938;370360872;6.9789;25.4;6.974;6.974;0;32.252;34.441;30.431;29.788;-0.17;0.29;0.31;-0.53;-0.07;0;19.05;16.87;14.62
